Unnamed: 0, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound
1,80,60675,6,176,1,1,0,0,0,0,0,0,0,0,0,0,0,11363.63636,176,0,176,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5681.818182,5681.818182,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,243,64,0,32,0,0,0,0,0,0,0,0,0
14296,60675,80,6,95,1,2,0,0,0,0,0,0,0,0,0,0,0,31578.94737,47.5,62.93250353,92,3,0,0,0,0,0,3,3,0,3,3,0,0,0,0,32,64,10526.31579,21052.63158,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,64,243,0,32,0,0,0,0,0,0,0,0,1
242,0,0,0,111647435,39,0,0,0,0,0,0,0,0,0,0,0,0,0.349313892,2938090.395,4385983.886,9981133,0,111647435,2938090.395,4385983.886,9981133,0,0,0,0,0,0,0,0,0,0,0,0,0.349313892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,-1,-1,0,0,4.916666667,0.900336637,6,3,9303947.5,306387.948,9981133,9006678,0
13987,443,50466,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,40,0,1000000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0,0,0,0,0,0,0,0,1
11217,443,50457,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,40,0,1000000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0,0,0,0,0,0,0,0,1
2,58323,443,6,233,4,0,123,0,46,0,30.75,21.68524844,0,0,0,0,527896.9957,17167.38197,77.66666667,129.3264603,227,3,233,77.66666667,129.3264603,227,3,0,0,0,0,0,1,0,0,0,80,0,17167.38197,0,0,46,33.8,19.97998999,399.2,0,0,1,0,0,1,0,0,0,42.25,30.75,0,80,0,0,0,0,0,0,4,123,0,0,16402,-1,2,20,0,0,0,0,0,0,0,0,0
3,58323,443,6,1,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,3.10E+07,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2000000,0,0,31,20.66666667,17.89785834,320.3333333,0,0,1,0,0,1,0,0,0,31,15.5,0,40,0,0,0,0,0,0,2,31,0,0,16402,-1,0,20,0,0,0,0,0,0,0,0,0
4,443,58323,6,221,5,0,62,0,31,0,12.4,16.97939928,0,0,0,0,280542.9864,22624.43439,55.25,106.5031298,215,1,221,55.25,106.5031298,215,1,0,0,0,0,0,0,0,0,0,100,0,22624.43439,0,0,31,10.33333333,16.00833116,256.2666667,0,0,0,0,0,1,0,0,0,12.4,12.4,0,100,0,0,0,0,0,0,5,62,0,0,254,-1,2,20,0,0,0,0,0,0,0,0,1
15248,443,58323,6,200,1,2,0,0,0,0,0,0,0,0,0,0,0,15000,100,137.1787156,197,3,0,0,0,0,0,3,3,0,3,3,0,0,0,0,20,40,5000,10000,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,20,0,0,0,0,0,0,1,0,2,0,254,0,0,20,0,0,0,0,0,0,0,0,1
6,80,53948,6,233,1,1,0,0,0,0,0,0,0,0,0,0,0,8583.690987,233,0,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4291.845494,4291.845494,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,235,64,0,32,0,0,0,0,0,0,0,0,0
11570,53948,80,6,96,1,2,0,0,0,0,0,0,0,0,0,0,0,31250,48,65.05382387,94,2,0,0,0,0,0,2,2,0,2,2,0,0,0,0,32,64,10416.66667,20833.33333,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,64,235,0,32,0,0,0,0,0,0,0,0,1
8,60676,80,6,184,1,1,0,0,0,0,0,0,0,0,0,0,0,10869.56522,184,0,184,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5434.782609,5434.782609,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,64,227,0,32,0,0,0,0,0,0,0,0,1
11996,80,60676,6,112,1,2,0,0,0,0,0,0,0,0,0,0,0,26785.71429,56,76.36753237,110,2,0,0,0,0,0,2,2,0,2,2,0,0,0,0,32,64,8928.571429,17857.14286,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,227,64,0,32,0,0,0,0,0,0,0,0,0
9,62470,80,6,5446084,12,9,1796,4290,489,0,149.6666667,222.3843247,1073,0,476.6666667,565.2572423,1117.500207,3.855981656,272304.2,1118245.023,5004890,2,441194,40108.54545,132415.6487,439356,2,5445972,680746.5,1754044.164,5005034,2,0,0,0,0,400,304,2.203418089,1.652563567,0,1073,276.6363636,421.4612387,177629.5758,0,0,0,0,1,0,0,0,0,289.8095238,149.6666667,476.6666667,400,0,0,0,0,0,0,12,1796,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1
11,25927,80,6,5900903,12,9,1658,4290,442,0,138.1666667,204.7583202,1073,0,476.6666667,565.2572423,1007.981321,3.55877736,295045.15,1125769.215,5002987,1,897916,81628.72727,267885.9203,889310,1,5900713,737589.125,1751356.588,5003097,2,0,0,0,0,400,304,2.033587063,1.525190297,0,1073,270.3636364,418.7947043,175389.0043,0,0,0,0,1,0,0,0,0,283.2380952,138.1666667,476.6666667,400,0,0,0,0,0,0,12,1658,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1
55,25926,80,6,16249979,5,2,0,0,0,0,0,0,0,0,0,0,0,0.430769787,2708329.833,6633918.37,16249759,2,16249979,4062494.75,8124842.834,16249759,2,3,3,0,3,3,0,0,0,0,176,80,0.307692705,0.123077082,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,176,0,0,0,0,0,0,5,0,2,0,65535,28960,0,32,0,0,0,0,0,0,0,0,1
12364,55491,53,17,20720,2,2,72,310,36,36,36,0,155,155,155,0,18436.29344,193.0501931,6906.666667,11958.36746,20715,2,3,3,0,3,3,2,2,0,2,2,0,0,0,0,64,64,96.52509653,96.52509653,36,155,83.6,65.17898434,4248.3,0,0,0,0,0,0,0,0,1,104.5,36,155,64,0,0,0,0,0,0,2,72,2,310,-1,-1,1,32,0,0,0,0,0,0,0,0,0
230,50474,443,6,103119730,75,96,80828,13010,3564,0,1077.706667,1248.198581,2920,0,135.5208333,413.3512328,909.9907457,1.658266561,606586.6471,5644044.981,66416970,0,103119730,1393509.865,8522683.87,66416970,1,36651778,385808.1895,3306317.097,32115508,0,0,0,0,0,1524,1944,0.727309895,0.930956666,0,3564,545.5697674,994.7241828,989476.1998,0,0,0,0,1,0,0,0,1,548.7602339,1077.706667,135.5208333,1524,0,0,0,0,0,0,75,80828,96,13010,64240,1026,50,20,3598732,0,3598732,3598732,32019597,0,32019597,32019597,0
10173,50475,21,6,9015577,6,0,0,0,0,0,0,0,0,0,0,0,0,0.665514808,1803115.4,2684937.67,5999670,2,9015577,1803115.4,2684937.67,5999670,2,0,0,0,0,0,0,0,0,0,192,0,0.665514808,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,192,0,0,0,0,0,0,6,0,0,0,64240,-1,0,32,3015904,0,3015904,3015904,5999670,0,5999670,5999670,1
38,49691,80,6,5677768,12,9,1742,4290,463,0,145.1666667,215.06567,1073,0,476.6666667,565.2572423,1062.389305,3.698636506,283888.4,1120985.759,5004876,2,672892,61172,199368.8225,662237,2,5677570,709696.25,1750925.928,5005005,2,0,0,0,0,400,304,2.113506575,1.585129931,0,1073,274.1818182,420.2509042,176610.8225,0,0,0,0,1,0,0,0,0,287.2380952,145.1666667,476.6666667,400,0,0,0,0,0,0,12,1742,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1
542,54594,53,17,65880,2,2,54,86,27,27,27,0,43,43,43,0,2125.075896,60.71645416,21960,38030.63958,65874,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,64,30.35822708,30.35822708,27,43,33.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,41.75,27,43,40,0,0,0,0,0,0,2,54,2,86,-1,-1,1,20,0,0,0,0,0,0,0,0,0
5628,56216,53,17,20632,2,2,84,400,42,42,42,0,200,200,200,0,23458.70492,193.8735944,6877.333333,11907.56064,20627,2,2,2,0,2,2,3,3,0,3,3,0,0,0,0,40,40,96.93679721,96.93679721,42,200,105.2,86.54016409,7489.2,0,0,0,0,0,0,0,0,1,131.5,42,200,40,0,0,0,0,0,0,2,84,2,400,-1,-1,1,20,0,0,0,0,0,0,0,0,0
296,50478,80,6,110968023,32,30,1212,1536,298,0,37.875,99.89211923,384,0,51.2,132.766427,24.76389077,0.558719515,1819147.918,3815315.139,10017988,2,110796866,3574092.452,4863603.278,10189225,2,110796765,3820578.103,4967211.83,10189295,2,0,0,0,0,664,864,0.288371363,0.270348152,0,384,43.61904762,115.3672158,13309.59447,0,0,0,0,1,0,0,0,0,44.32258065,37.875,51.2,664,0,0,0,0,0,0,32,1212,30,1536,64240,245,24,20,194682.9091,64556.12916,385066,171013,9877759.182,401137.1412,10017988,8669329,0
10539,64054,53,17,20608,2,2,78,142,39,39,39,0,71,71,71,0,10675.46584,194.0993789,6869.333333,11892.8382,20602,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,97.04968944,97.04968944,39,71,51.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,64.75,39,71,64,0,0,0,0,0,0,2,78,2,142,-1,-1,1,32,0,0,0,0,0,0,0,0,0
15139,54594,53,17,45573,2,2,54,86,27,27,27,0,43,43,43,0,3071.994383,87.77126808,15191,26306.38767,45567,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,43.88563404,43.88563404,27,43,33.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,41.75,27,43,64,0,0,0,0,0,0,2,54,2,86,-1,-1,1,32,0,0,0,0,0,0,0,0,0
11390,64054,53,17,56910,2,2,78,142,39,39,39,0,71,71,71,0,3865.752943,70.28641715,18970,32851.80767,56904,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,35.14320857,35.14320857,39,71,51.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,64.75,39,71,64,0,0,0,0,0,0,2,78,2,142,-1,-1,1,32,0,0,0,0,0,0,0,0,0
10624,54305,53,17,20647,2,2,78,190,39,39,39,0,95,95,95,0,12980.09396,193.7327457,6882.333333,11915.35486,20641,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,96.86637284,96.86637284,39,95,61.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,76.75,39,95,64,0,0,0,0,0,0,2,78,2,190,-1,-1,1,32,0,0,0,0,0,0,0,0,0
14,50479,80,6,1711838,15,15,1428,24118,387,0,95.2,164.1972681,2920,0,1607.866667,1348.458213,14923.14109,17.52502281,59028.89655,239845.4906,1273110,1,1711838,122274.1429,343534.6748,1273110,1,344406,24600.42857,77446.56885,288779,2,0,0,0,0,324,324,8.762511406,8.762511406,0,2920,824.0645161,1206.884776,1456570.862,0,0,0,0,1,0,0,0,1,851.5333333,95.2,1607.866667,324,0,0,0,0,0,0,15,1428,15,24118,64240,1892,4,20,0,0,0,0,0,0,0,0,0
13,50480,80,6,1711492,7,2,760,0,380,0,108.5714286,185.4210139,0,0,0,0,444.0569982,5.258569716,213936.5,567460.0212,1617308,1,1711492,285248.6667,652999.5964,1617308,1,1,1,0,1,1,0,0,0,0,164,64,4.089998668,1.168571048,0,380,76,160.2220681,25671.11111,0,0,0,0,1,0,0,0,0,84.44444444,108.5714286,0,164,0,0,0,0,0,0,7,760,2,0,64240,29200,2,20,0,0,0,0,0,0,0,0,0
5671,60388,53,17,20600,2,2,54,86,27,27,27,0,43,43,43,0,6796.116505,194.1747573,6866.666667,11889.08543,20595,2,3,3,0,3,3,2,2,0,2,2,0,0,0,0,64,64,97.08737864,97.08737864,27,43,33.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,41.75,27,43,64,0,0,0,0,0,0,2,54,2,86,-1,-1,1,32,0,0,0,0,0,0,0,0,0
10970,61815,53,17,20545,2,2,76,180,38,38,38,0,90,90,90,0,12460.45266,194.6945729,6848.333333,11855.59911,20538,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,97.34728644,97.34728644,38,90,58.8,28.48157299,811.2,0,0,0,0,0,0,0,0,1,73.5,38,90,64,0,0,0,0,0,0,2,76,2,180,-1,-1,1,32,0,0,0,0,0,0,0,0,0
11098,50208,53,17,20645,2,2,94,206,47,47,47,0,103,103,103,0,14531.36353,193.7515137,6881.666667,11915.06619,20640,2,2,2,0,2,2,3,3,0,3,3,0,0,0,0,64,64,96.87575684,96.87575684,47,103,69.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,86.75,47,103,64,0,0,0,0,0,0,2,94,2,206,-1,-1,1,32,0,0,0,0,0,0,0,0,0
7752,54316,53,17,20628,2,2,54,110,27,27,27,0,55,55,55,0,7950.358736,193.9111887,6876,11905.25124,20623,2,2,2,0,2,2,3,3,0,3,3,0,0,0,0,64,64,96.95559434,96.95559434,27,55,38.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,47.75,27,55,64,0,0,0,0,0,0,2,54,2,110,-1,-1,1,32,0,0,0,0,0,0,0,0,0
7961,57057,53,17,20604,2,2,86,118,43,43,43,0,59,59,59,0,9900.990099,194.1370608,6868,11890.52884,20598,2,4,4,0,4,4,2,2,0,2,2,0,0,0,0,64,40,97.06853038,97.06853038,43,59,49.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,61.75,43,59,64,0,0,0,0,0,0,2,86,2,118,-1,-1,1,32,0,0,0,0,0,0,0,0,0
10407,64547,53,17,20604,2,2,88,120,44,44,44,0,60,60,60,0,10095.12716,194.1370608,6868,11892.26089,20600,1,3,3,0,3,3,1,1,0,1,1,0,0,0,0,64,40,97.06853038,97.06853038,44,60,50.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,63,44,60,64,0,0,0,0,0,0,2,88,2,120,-1,-1,1,32,0,0,0,0,0,0,0,0,0
13360,54316,53,17,45920,2,2,54,110,27,27,27,0,55,55,55,0,3571.428571,87.10801394,15306.66667,26508.46026,45916,2,2,2,0,2,2,2,2,0,2,2,0,0,0,0,64,40,43.55400697,43.55400697,27,55,38.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,47.75,27,55,64,0,0,0,0,0,0,2,54,2,110,-1,-1,1,32,0,0,0,0,0,0,0,0,0
10806,64551,53,17,20595,2,2,74,186,37,37,37,0,93,93,93,0,12624.4234,194.2218985,6865,11887.06469,20591,2,2,2,0,2,2,2,2,0,2,2,0,0,0,0,64,40,97.11094926,97.11094926,37,93,59.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,74.25,37,93,64,0,0,0,0,0,0,2,74,2,186,-1,-1,1,32,0,0,0,0,0,0,0,0,0
12425,57057,53,17,46881,2,2,86,118,43,43,43,0,59,59,59,0,4351.443015,85.32241206,15627,27060.6958,46874,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,42.66120603,42.66120603,43,59,49.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,61.75,43,59,40,0,0,0,0,0,0,2,86,2,118,-1,-1,1,20,0,0,0,0,0,0,0,0,0
9766,64547,53,17,47954,2,2,88,120,44,44,44,0,60,60,60,0,4337.490095,83.41327105,15984.66667,27681.92469,47949,2,3,3,0,3,3,2,2,0,2,2,0,0,0,0,40,40,41.70663553,41.70663553,44,60,50.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,63,44,60,40,0,0,0,0,0,0,2,88,2,120,-1,-1,1,20,0,0,0,0,0,0,0,0,0
13499,56270,53,17,5316071,4,4,162,370,44,37,40.5,4.041451884,113,72,92.5,23.67136104,100.073908,1.504870796,759438.7143,1991087.168,5274746,1,5295402,1765134,3057296.574,5295396,1,5295419,1765139.667,3057307.255,5295414,2,0,0,0,0,80,80,0.752435398,0.752435398,37,113,64,30.79772719,948.5,0,0,0,0,0,0,0,0,1,72,40.5,92.5,80,0,0,0,0,0,0,4,162,4,370,-1,-1,3,20,20655,0,20655,20655,5274746,0,5274746,5274746,0
7448,49195,53,17,20655,2,2,86,142,43,43,43,0,71,71,71,0,11038.48947,193.65771,6885,11920.83969,20650,2,3,3,0,3,3,2,2,0,2,2,0,0,0,0,40,40,96.828855,96.828855,43,71,54.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,67.75,43,71,40,0,0,0,0,0,0,2,86,2,142,-1,-1,1,20,0,0,0,0,0,0,0,0,0
13252,62707,53,17,20740,2,2,70,174,35,35,35,0,87,87,87,0,11764.70588,192.8640309,6913.333333,11968.18242,20733,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,96.43201543,96.43201543,35,87,55.8,28.48157299,811.2,0,0,0,0,0,0,0,0,1,69.75,35,87,40,0,0,0,0,0,0,2,70,2,174,-1,-1,1,20,0,0,0,0,0,0,0,0,0
9322,58345,53,17,20739,2,2,76,188,38,38,38,0,94,94,94,0,12729.63981,192.8733304,6913,11971.06917,20736,1,2,2,0,2,2,1,1,0,1,1,0,0,0,0,40,40,96.43666522,96.43666522,38,94,60.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,75.5,38,94,40,0,0,0,0,0,0,2,76,2,188,-1,-1,1,20,0,0,0,0,0,0,0,0,0
3427,54402,53,17,20626,2,2,86,118,43,43,43,0,59,59,59,0,9890.429555,193.9299913,6875.333333,11903.2305,20620,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,96.96499564,96.96499564,43,59,49.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,61.75,43,59,40,0,0,0,0,0,0,2,86,2,118,-1,-1,1,20,0,0,0,0,0,0,0,0,0
12097,54402,53,17,45752,2,2,86,118,43,43,43,0,59,59,59,0,4458.821472,87.42787201,15250.66667,26410.59939,45747,2,3,3,0,3,3,2,2,0,2,2,0,0,0,0,40,40,43.713936,43.713936,43,59,49.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,61.75,43,59,40,0,0,0,0,0,0,2,86,2,118,-1,-1,1,20,0,0,0,0,0,0,0,0,0
11081,53397,53,17,20694,2,2,86,142,43,43,43,0,71,71,71,0,11017.68629,193.2927419,6898,11943.35635,20689,2,2,2,0,2,2,3,3,0,3,3,0,0,0,0,40,40,96.64637093,96.64637093,43,71,54.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,67.75,43,71,40,0,0,0,0,0,0,2,86,2,142,-1,-1,1,20,0,0,0,0,0,0,0,0,0
13473,58252,53,17,20605,2,2,90,240,45,45,45,0,120,120,120,0,16015.53021,194.1276389,6868.333333,11891.97218,20600,2,2,2,0,2,2,3,3,0,3,3,0,0,0,0,40,40,97.06381946,97.06381946,45,120,75,41.07919181,1687.5,0,0,0,0,0,0,0,0,1,93.75,45,120,40,0,0,0,0,0,0,2,90,2,240,-1,-1,1,20,0,0,0,0,0,0,0,0,0
13212,59243,53,17,20618,2,2,102,198,51,51,51,0,99,99,99,0,14550.39286,194.0052381,6872.666667,11897.74568,20611,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,52,40,97.00261907,97.00261907,51,99,70.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,87.75,51,99,52,0,0,0,0,0,0,2,102,2,198,-1,-1,1,20,0,0,0,0,0,0,0,0,0
